ts,account,symbol,side,size_usd,size_tokens,collateral,entry_price,current_price,pnl,liquidation_price,leverage,is_liquidatable,opened_at
1768308940023934000,20,ETH-USD,Buy,704325543,224818221046556396,234211721,3132866810,3130800000,-947634,2174321121,3,false,1768308935
1768308940023934000,41,ETH-USD,Sell,4972753906,1589039568156293144,2481404200,3129408483,3130800000,-5624914,4577473117,2,false,1768308923
1768308940023934000,21,ETH-USD,Sell,626067150,200161842586149457,208062983,3127804689,3130800000,-1029555,4104722319,3,false,1768308935
1768308940023934000,34,ETH-USD,Buy,2819707682,899620327532762935,1407034134,3134330779,3130800000,-5109018,1680096979,2,false,1768308886
1768308940023934000,22,ETH-USD,Buy,532331553,169879513553038874,177017986,3133582984,3130800000,-837724,2172662375,3,false,1768308926
1768308940023934000,52,ETH-USD,Buy,10036503686,3203778533322671036,5008215340,3132708326,3130800000,-12996544,1769659665,2,false,1768308913
1768308940023934000,26,ETH-USD,Buy,788893560,251822762394937410,262333406,3132733326,3130800000,-1027847,2175288186,3,false,1768308937
1768308940023934000,35,ETH-USD,Sell,1867798080,596903288441929781,932404802,3129146908,3130800000,-2269065,4615889573,2,false,1768308886
1768308942023934000,40,ETH-USD,Buy,5025988676,1603950676132091330,2508973548,3133505756,3130821899,-8245657,1712066393,2,false,1768308923
1768308942023934000,27,ETH-USD,Sell,1056866928,337837776592765133,351232110,3128326673,3130821899,-1673043,4105143061,3,false,1768308937
1768308942023934000,42,ETH-USD,Buy,3723056250,1188038251117566916,1857805069,3133784831,3130821899,-6439068,1696513303,2,false,1768308892
1768308942023934000,50,ETH-USD,Buy,10558296806,3368864484213386107,5268590107,3134081782,3130821899,-19259353,1782363192,2,false,1768308844
1768308942023934000,53,ETH-USD,Sell,15452333810,4939424945250396747,7713805038,3128366961,3130821899,-24262070,4450946516,2,false,1768308913
1768308942023934000,36,ETH-USD,Buy,3773270142,1204347908006282040,1882861801,3133039977,3130821899,-5630402,1696739272,2,false,1768308915
1768308942023934000,32,ETH-USD,Buy,2047530120,653597432932541706,1022127036,3132708326,3130821899,-2838842,1674308149,2,false,1768308918
1768308942023934000,43,ETH-USD,Sell,3319125000,1060742519763834685,1656907200,3129058124,3130821899,-4477138,4602753681,2,false,1768308892
1768308942023934000,24,ETH-USD,Buy,469550361,149878813711841136,156047237,3132866810,3130821899,-674738,2177389425,3,false,1768308936
1768308942023934000,33,ETH-USD,Sell,2838052070,907058680212784034,1416187983,3128851673,3130821899,-4015739,4607620963,2,false,1768308918
1768308942023934000,31,ETH-USD,Sell,2085340964,666448380266869958,1040585142,3129035984,3130821899,-2827673,4616755257,2,false,1768308920
1768308942023934000,30,ETH-USD,Buy,3035642740,968848167832273658,1515392856,3133249193,3130821899,-4732124,1686981226,2,false,1768308920
1768308942023934000,37,ETH-USD,Sell,3396350100,1085758340690647122,1695457970,3128090268,3130821899,-5633582,4600393796,2,false,1768308915
1768308942023934000,25,ETH-USD,Sell,718725087,229785794905243908,238856304,3127804689,3130821899,-1257892,4104722311,3,false,1768308936
1768308942023934000,51,ETH-USD,Sell,7333118170,2343619006396684348,3660692591,3128971965,3130821899,-10093774,4553111883,2,false,1768308844
1768308942023934000,20,ETH-USD,Buy,704325543,224818221046556396,234211721,3132866810,3130821899,-1012108,2179704933,3,false,1768308935
1768308942023934000,41,ETH-USD,Sell,4972753906,1589039568156293144,2481404200,3129408483,3130821899,-6150218,4582383479,2,false,1768308923
1768308942023934000,21,ETH-USD,Sell,626067150,200161842586149457,208062983,3127804689,3130821899,-1095724,4104722304,3,false,1768308935
1768308942023934000,34,ETH-USD,Buy,2819707682,899620327532762935,1407034134,3134330779,3130821899,-5367013,1685483307,2,false,1768308886
1768308942023934000,52,ETH-USD,Buy,10036503686,3203778533322671036,5008215340,3132708326,3130821899,-13915330,1775043205,2,false,1768308913
1768308942023934000,26,ETH-USD,Buy,788893560,251822762394937410,262333406,3132733326,3130821899,-1100065,2180671769,3,false,1768308937
1768308942023934000,35,ETH-USD,Sell,1867798080,596903288441929781,932404802,3129146908,3130821899,-2466389,4620022461,2,false,1768308886
1768308944023934000,40,ETH-USD,Buy,5025988676,1603950676132091330,2508973548,3133505756,3130675090,-8210439,1705410992,2,false,1768308923
1768308944023934000,27,ETH-USD,Sell,1056866928,337837776592765133,351232110,3128326673,3130675090,-1566430,4101096786,3,false,1768308937
1768308944023934000,42,ETH-USD,Buy,3723056250,1188038251117566916,1857805069,3133784831,3130675090,-6412982,1689857309,2,false,1768308892
1768308944023934000,50,ETH-USD,Buy,10558296806,3368864484213386107,5268590107,3134081782,3130675090,-19185383,1775706560,2,false,1768308844
1768308944023934000,53,ETH-USD,Sell,15452333810,4939424945250396747,7713805038,3128366961,3130675090,-22703311,4444479711,2,false,1768308913
