ts,account,symbol,side,size_usd,collateral,execution_price,leverage,order_type,pnl
1768308692223934000,22,ETH-USD,Buy,787372227,261670037,3131643676,0,Decrease,-1420508
1768308692823934000,22,ETH-USD,Buy,595638627,197950571,3131643676,3,Increase,0
1768308692823934000,23,ETH-USD,Sell,625076076,207858632,3131643676,3,Increase,0
1768308693023934000,20,ETH-USD,Buy,774849681,257508378,3131643676,0,Decrease,-1299086
1768308693023934000,21,ETH-USD,Sell,757310643,251831033,3131643676,0,Decrease,-1113186
1768308693523934000,21,ETH-USD,Sell,481646796,160163615,3131643676,3,Increase,0
1768308693523934000,20,ETH-USD,Buy,392708115,130509997,3131643676,3,Increase,0
1768308694023934000,34,ETH-USD,Buy,1935459162,965794122,3131643676,0,Decrease,-2921782
1768308694023934000,35,ETH-USD,Sell,2220439110,1107999116,3131643676,0,Decrease,-3149005
1768308694023934000,31,ETH-USD,Sell,2148502428,1072532413,3131519999,0,Decrease,-2773624
1768308694023934000,30,ETH-USD,Buy,2757662374,1376073525,3131519999,0,Decrease,-4272517
1768308695923934000,24,ETH-USD,Buy,563128425,187146347,3131519999,0,Decrease,-933485
1768308695923934000,25,ETH-USD,Sell,900128529,299322741,3131519999,0,Decrease,-1234942
1768308696023934000,30,ETH-USD,Buy,1667534398,832099665,3131519999,2,Increase,0
1768308696023934000,31,ETH-USD,Sell,2780789758,1388170248,3131519999,2,Increase,0
1768308696623934000,25,ETH-USD,Sell,830473797,276160220,3131499999,3,Increase,0
1768308696623934000,24,ETH-USD,Buy,319412997,106151587,3131499999,3,Increase,0
1768308697023934000,34,ETH-USD,Buy,2173260998,1084457239,3131499999,2,Increase,0
1768308697023934000,35,ETH-USD,Sell,1673786748,835554345,3131499999,2,Increase,0
1768308703523934000,21,ETH-USD,Sell,481646796,160163615,3131440000,0,Decrease,-675045
1768308703523934000,20,ETH-USD,Buy,392708115,130509997,3131440000,0,Decrease,-600588
1768308704023934000,21,ETH-USD,Sell,521697903,173481943,3131440000,3,Increase,0
1768308704023934000,20,ETH-USD,Buy,879306591,292222891,3131433737,3,Increase,0
1768308706423934000,26,ETH-USD,Buy,1169447499,388646386,3131383131,0,Decrease,-1910090
1768308706423934000,27,ETH-USD,Sell,984036696,327225003,3131383131,0,Decrease,-1276596
1768308707223934000,26,ETH-USD,Buy,1144207395,380258258,3131383131,3,Increase,0
1768308707223934000,27,ETH-USD,Sell,654459072,217629457,3131383131,3,Increase,0
1768308707823934000,23,ETH-USD,Sell,625076076,207858632,3131383131,0,Decrease,-915767
1768308707823934000,22,ETH-USD,Buy,595638627,197950571,3131383131,0,Decrease,-970329
1768308708423934000,22,ETH-USD,Buy,385167120,128003873,3131440000,3,Increase,0
1768308708423934000,23,ETH-USD,Sell,791628030,263242708,3131440000,3,Increase,0
1768308709223934000,25,ETH-USD,Sell,830473797,276160220,3131440000,0,Decrease,-1146381
1768308709223934000,24,ETH-USD,Buy,319412997,106151587,3131440000,0,Decrease,-452511
1768308709923934000,24,ETH-USD,Buy,877429488,291599067,3131440000,3,Increase,0
1768308709923934000,25,ETH-USD,Sell,735262110,244499161,3131440000,3,Increase,0
1768308714023934000,21,ETH-USD,Sell,521697903,173481943,3131469353,0,Decrease,-771572
1768308714023934000,20,ETH-USD,Buy,879306591,292222891,3130905000,0,Decrease,-1482185
1768308714523934000,21,ETH-USD,Sell,313716681,104321254,3130905000,3,Increase,0
1768308714523934000,20,ETH-USD,Buy,558553452,185625931,3130905000,3,Increase,0
1768308722523934000,25,ETH-USD,Sell,735262110,244499161,3130003130,0,Decrease,-702905
1768308722523934000,24,ETH-USD,Buy,877429488,291599067,3130003130,0,Decrease,-1642356
1768308723223934000,24,ETH-USD,Buy,898310898,298538656,3130003130,3,Increase,0
1768308723223934000,25,ETH-USD,Sell,418168416,139054938,3130003130,3,Increase,0
1768308723423934000,22,ETH-USD,Buy,385167120,128003873,3130003130,0,Decrease,-720948
1768308723423934000,23,ETH-USD,Sell,791628030,263242708,3130003130,0,Decrease,-756790
1768308724023934000,22,ETH-USD,Buy,475760475,158111065,3130003130,3,Increase,0
1768308724023934000,23,ETH-USD,Sell,433818432,144259090,3130003130,3,Increase,0
1768308724523934000,20,ETH-USD,Buy,558553452,185625931,3130082458,0,Decrease,-1083769
1768308724523934000,21,ETH-USD,Sell,313716681,104321254,3130082458,0,Decrease,-444778
1768308725023934000,20,ETH-USD,Buy,400650552,133149534,3130082458,3,Increase,0
1768308725023934000,21,ETH-USD,Sell,435707478,144887261,3130082458,3,Increase,0
1768308725523934000,33,ETH-USD,Sell,2748286124,1371944434,3130082458,0,Decrease,-2553726
1768308725523934000,32,ETH-USD,Buy,1691253000,843935247,3130082458,0,Decrease,-3584825
1768308725623934000,26,ETH-USD,Buy,1144207395,380258258,3130082458,0,Decrease,-2297315
1768308725623934000,27,ETH-USD,Sell,654459072,217629457,3130082458,0,Decrease,-771945
1768308726023934000,31,ETH-USD,Sell,2780789758,1388170248,3130082458,0,Decrease,-2984505
1768308726023934000,30,ETH-USD,Buy,1667534398,832099665,3130082458,0,Decrease,-3317034
1768308726423934000,27,ETH-USD,Sell,810695898,269583410,3130099999,3,Increase,0
1768308726423934000,26,ETH-USD,Buy,775012758,257562574,3130099999,3,Increase,0
1768308728023934000,33,ETH-USD,Sell,1766941448,882057171,3130099999,2,Increase,0
1768308728023934000,41,ETH-USD,Sell,4168395814,2080029512,3130099999,0,Decrease,-3868932
1768308728023934000,40,ETH-USD,Buy,6047496144,3018910076,3130099999,0,Decrease,-11475123
1768308728023934000,30,ETH-USD,Buy,2316273998,1155820726,3130099999,2,Increase,0
1768308728023934000,32,ETH-USD,Buy,1981353298,988695296,3130099999,2,Increase,0
1768308728023934000,31,ETH-USD,Sell,2865606548,1430510789,3130099999,2,Increase,0
1768308733023934000,40,ETH-USD,Buy,4870409940,2430334561,3130083509,2,Increase,0
1768308733023934000,41,ETH-USD,Sell,5289841130,2640688693,3130083509,2,Increase,0
1768308735023934000,20,ETH-USD,Buy,400650552,133149534,3130085030,0,Decrease,-596415
1768308735023934000,21,ETH-USD,Sell,435707478,144887261,3130085030,0,Decrease,-650381
