ts,symbol,price_min,price_max,price_mid
1768308761923934000,ETH-USD,3128535537,3133148349,3130841943
1768308763923934000,ETH-USD,3128641650,3133148350,3130895000
1768308765923934000,ETH-USD,3128651650,3133148350,3130900000
1768308767923934000,ETH-USD,3128632864,3133148350,3130890607
1768308769923934000,ETH-USD,3128651649,3133148349,3130899999
1768308771923934000,ETH-USD,3128041030,3133841368,3130941199
1768308773923934000,ETH-USD,3128663093,3133148349,3130905721
1768308775923934000,ETH-USD,3128327126,3133472874,3130900000
1768308777923934000,ETH-USD,3128083756,3133696244,3130890000
1768308779923934000,ETH-USD,3128339291,3133240709,3130790000
1768308781923934000,ETH-USD,3128566972,3132883028,3130725000
1768308783923934000,ETH-USD,3128213975,3133224263,3130719119
1768308785923934000,ETH-USD,3128544449,3132883027,3130713738
1768308787923934000,ETH-USD,3128508517,3132881483,3130695000
1768308789923934000,ETH-USD,3128017988,3133392012,3130705000
1768308791923934000,ETH-USD,3128215448,3133194552,3130705000
1768308793923934000,ETH-USD,3128185448,3133194552,3130690000
1768308795923934000,ETH-USD,3128516972,3132883028,3130700000
1768308797923934000,ETH-USD,3128676972,3132883028,3130780000
1768308799923934000,ETH-USD,3128518510,3132891490,3130705000
1768308801923934000,ETH-USD,3128533233,3132883027,3130708130
1768308803923934000,ETH-USD,3128634283,3132883027,3130758655
1768308805923934000,ETH-USD,3128182502,3133262432,3130722467
1768308807923934000,ETH-USD,3128631803,3132883027,3130757415
1768308809923934000,ETH-USD,3128646503,3132883027,3130764765
1768308811923934000,ETH-USD,3128631651,3132891489,3130761570
1768308813923934000,ETH-USD,3128371457,3133088543,3130730000
1768308815923934000,ETH-USD,3128820076,3132979924,3130900000
1768308817923934000,ETH-USD,3128579554,3133675446,3131127500
1768308819923934000,ETH-USD,3129780684,3133779316,3131780000
1768308821923934000,ETH-USD,3130060208,3133803066,3131931637
1768308823923934000,ETH-USD,3130011716,3133870490,3131941103
1768308825923934000,ETH-USD,3129966804,3133785124,3131875964
1768308827923934000,ETH-USD,3129677647,3134083415,3131880531
1768308829923934000,ETH-USD,3129324970,3134425436,3131875203
1768308831923934000,ETH-USD,3129638793,3133893113,3131765953
1768308833923934000,ETH-USD,3128839597,3134221581,3131530589
1768308835923934000,ETH-USD,3128615041,3133904989,3131260015
1768308837923934000,ETH-USD,3129202029,3133288031,3131245030
1768308839923934000,ETH-USD,3129141034,3133288030,3131214532
1768308841923934000,ETH-USD,3128253216,3134081782,3131167499
1768308843923934000,ETH-USD,3128971966,3133298034,3131135000
1768308845923934000,ETH-USD,3128634985,3133609965,3131122475
1768308847923934000,ETH-USD,3128630445,3133627029,3131128737
1768308849923934000,ETH-USD,3128965702,3133298034,3131131868
1768308851923934000,ETH-USD,3128951966,3133298034,3131125000
1768308853923934000,ETH-USD,3128625205,3133639645,3131132425
1768308855923934000,ETH-USD,3128991947,3133388053,3131190000
1768308857923934000,ETH-USD,3128951632,3133448368,3131200000
1768308859923934000,ETH-USD,3129158265,3133241735,3131200000
1768308861923934000,ETH-USD,3128947113,3133448367,3131197740
1768308863923934000,ETH-USD,3128951631,3133448367,3131199999
1768308865923934000,ETH-USD,3129026659,3133373339,3131199999
1768308867923934000,ETH-USD,3129041636,3133438364,3131240000
1768308869923934000,ETH-USD,3129066685,3133438363,3131252524
1768308871923934000,ETH-USD,3128853292,3133751708,3131302500
1768308873923934000,ETH-USD,3129236943,3133563057,3131400000
1768308875923934000,ETH-USD,3129236943,3133563057,3131400000
1768308877923934000,ETH-USD,3129216943,3133563057,3131390000
1768308879923934000,ETH-USD,3129216943,3133563057,3131390000
1768308881923934000,ETH-USD,3128620509,3133879491,3131250000
1768308883923934000,ETH-USD,3129146909,3133378089,3131262499
